col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,retail_price,discounted_price,product_rating,discount,shipping,date
0,0,2,0,0,0,1,0,0,0,3499,1499,5,57.16,0,10/01/2021
0,0,2,0,0,0,0,0,0,1,3499,1499,4,57.16,0,10/01/2021
1,0,2,0,0,0,0,0,0,0,3499,1499,5,57.16,0,10/01/2021
1,0,2,0,0,0,0,0,0,0,3499,1499,3,57.16,0,10/01/2021
0,0,2,0,0,1,0,0,0,0,3499,1799,2,48.59,0,10/01/2021
0,0,2,1,0,0,0,0,0,0,3499,1599,3,54.3,0,10/01/2021
0,0,0,0,0,1,0,1,0,1,600,190,3,68.33,40,10/01/2021
0,0,1,0,0,1,1,0,0,0,699,699,5,0.0,0,10/01/2021
0,0,0,0,0,1,1,0,1,0,699,699,4,0.0,0,10/01/2021
1,0,1,0,1,0,0,0,0,0,1800,1480,5,17.78,0,10/01/2021
1,0,1,0,1,0,0,0,0,0,1800,1480,5,17.78,0,25/01/2021
0,1,0,1,1,0,0,0,0,0,1499,1000,1,33.29,0,10/01/2021
0,0,1,0,0,1,0,0,1,0,1099,599,2,45.5,0,10/01/2021
0,1,0,0,0,0,1,0,1,0,899,449,4,50.06,0,10/01/2021
1,0,1,1,0,0,0,0,0,0,15900,15900,3,0.0,0,10/01/2021
1,0,1,1,0,0,0,0,0,0,44500,44500,5,0.0,0,10/01/2021
1,0,1,1,0,0,0,0,0,0,44500,44500,5,0.0,0,25/01/2021
1,0,1,1,0,0,0,0,0,0,44500,44500,5,0.0,0,10/02/2021
1,0,1,1,0,0,0,0,0,0,44500,44500,5,0.0,0,25/02/2021
1,0,1,1,0,0,0,0,0,0,27000,17999,1,33.34,0,10/01/2021
1,0,1,1,0,0,0,0,0,0,27000,17999,1,33.34,0,25/01/2021
1,0,0,1,0,0,0,0,1,0,32000,22499,3,29.69,0,10/01/2021
1,0,1,1,0,0,0,0,0,0,13900,13900,5,0.0,0,10/01/2021
2,0,0,1,0,0,0,0,0,0,19900,19900,4,0.0,0,10/01/2021
2,0,0,1,0,0,0,0,0,0,16900,16900,4,0.0,0,25/01/2021
1,0,0,2,0,0,0,0,0,0,14800,14800,2,0.0,0,10/01/2021
1,0,0,2,0,0,0,0,0,0,14500,14500,2,0.0,0,25/01/2021
1,0,0,2,0,0,0,0,0,0,27900,27900,2,0.0,0,10/02/2021
1,0,0,2,0,0,0,0,0,0,21400,21400,2,0.0,0,25/02/2021
1,1,0,1,0,0,0,0,0,0,57500,57500,3,0.0,0,10/01/2021
1,1,0,1,0,0,0,0,0,0,25800,25800,3,0.0,0,25/01/2021
1,1,0,1,0,0,0,0,0,0,43100,43100,3,0.0,0,10/02/2021
1,0,0,1,0,0,0,1,0,0,61800,61800,3,0.0,0,10/01/2021
1,0,0,1,0,0,0,1,0,0,51400,51400,3,0.0,0,25/01/2021
1,0,0,1,0,0,1,0,0,0,68400,68400,1,0.0,0,10/01/2021
1,0,0,1,0,0,1,0,0,0,53300,53300,1,0.0,0,25/01/2021
1,0,0,1,0,0,0,0,0,1,41000,41000,3,0.0,0,10/01/2021
1,0,0,1,0,0,0,0,0,1,65900,65900,3,0.0,0,25/01/2021
1,0,0,1,0,0,0,0,0,1,86500,86500,3,0.0,0,10/02/2021
1,0,0,1,0,0,0,0,0,1,36700,36700,3,0.0,0,25/02/2021
0,1,0,1,0,0,1,0,0,0,6500,5070,1,22.0,0,26/01/2021
1,0,0,0,0,0,0,1,0,1,499,499,2,0.0,0,10/01/2021
0,0,0,0,0,0,0,1,2,0,5999,1399,4,76.68,0,10/01/2021
0,0,1,0,1,0,0,1,0,0,650,350,4,46.15,40,10/01/2021
0,0,1,0,1,0,0,1,0,0,300,130,4,56.67,40,25/01/2021
0,0,0,0,2,0,0,0,0,1,699,199,5,71.53,40,10/01/2021
0,0,0,0,2,0,1,0,0,0,699,199,4,71.53,40,10/01/2021
0,0,0,0,2,0,0,0,0,1,699,199,2,71.53,40,10/01/2021
0,0,0,0,2,0,0,0,1,0,699,199,4,71.53,40,10/01/2021
0,0,0,0,2,0,0,0,0,1,699,199,1,71.53,40,10/01/2021
0,0,0,0,2,0,1,0,0,0,699,199,2,71.53,40,10/01/2021
1,0,0,0,2,0,0,0,0,0,599,152,5,74.62,40,10/01/2021
0,0,0,0,2,1,0,0,0,0,1795,1795,4,0.0,0,10/01/2021
1,0,1,0,1,0,0,0,0,0,1595,1595,1,0.0,0,10/01/2021
1,0,0,0,1,0,0,0,0,1,1199,399,2,66.72,0,10/01/2021
1,0,0,1,0,0,0,1,0,0,549,399,5,27.32,0,10/01/2021
0,0,0,1,0,1,0,0,1,0,549,399,3,27.32,0,10/01/2021
0,1,1,1,0,0,0,0,0,0,452,452,4,0.0,0,10/01/2021
0,0,0,0,0,0,1,1,1,0,799,499,3,37.55,0,10/01/2021
1,0,0,0,0,0,0,1,1,0,999,499,4,50.05,0,10/01/2021
0,1,0,0,0,1,0,1,0,0,499,297,5,40.48,40,10/01/2021
0,1,0,0,1,0,0,1,0,0,499,293,5,41.28,40,10/01/2021
1,0,0,0,1,0,0,1,0,0,499,271,1,45.69,40,10/01/2021
0,0,0,0,0,0,0,2,0,1,499,275,1,44.89,40,10/01/2021
0,2,0,1,0,0,0,0,0,0,499,499,1,0.0,0,10/01/2021
1,1,0,1,0,0,0,0,0,0,2999,839,4,72.02,0,10/01/2021
1,0,1,0,0,0,0,0,0,1,1200,529,2,55.92,0,10/01/2021
1,0,0,0,1,0,0,0,0,1,899,299,4,66.74,40,10/01/2021
1,0,1,0,0,0,0,0,1,0,399,299,2,25.06,40,10/01/2021
0,0,0,2,0,0,1,0,0,0,900,501,4,44.33,0,10/01/2021
0,0,0,2,0,0,0,0,0,1,2599,1400,1,46.13,0,10/01/2021
0,0,0,0,0,1,0,0,1,1,699,249,1,64.38,40,10/01/2021
0,0,0,0,0,0,0,2,1,0,499,149,4,70.14,40,10/01/2021
1,0,0,1,1,0,0,0,0,0,2000,1000,5,50.0,0,10/01/2021
1,0,0,1,1,0,0,0,0,0,1200,600,5,50.0,0,25/01/2021
1,0,0,0,1,0,0,0,0,1,1600,800,4,50.0,0,10/01/2021
1,0,0,0,1,0,0,0,0,1,1400,700,4,50.0,0,25/01/2021
0,0,0,0,0,0,1,1,0,1,430,430,3,0.0,0,10/01/2021
0,0,1,0,0,0,1,0,0,1,430,430,3,0.0,0,25/01/2021
0,1,0,0,0,0,2,0,0,0,485,485,3,0.0,0,10/01/2021
0,1,0,0,0,0,2,0,0,0,485,485,3,0.0,0,25/01/2021
0,0,0,0,1,0,1,1,0,0,260,260,4,0.0,40,10/01/2021
0,0,0,0,1,0,1,1,0,0,550,550,4,0.0,0,25/01/2021
0,0,0,0,1,0,1,1,0,0,600,600,4,0.0,0,10/02/2021
0,0,0,0,1,0,1,0,1,0,1450,599,2,58.69,0,10/01/2021
0,0,0,0,1,0,1,0,1,0,1449,539,5,62.8,0,10/01/2021
0,0,0,0,1,0,0,1,1,0,1675,799,1,52.3,0,10/01/2021
0,0,0,0,1,0,0,1,1,0,1399,699,1,50.04,0,25/01/2021
0,0,0,0,1,0,1,0,1,0,1200,599,5,50.08,0,10/01/2021
0,1,0,0,1,0,0,0,1,0,1650,649,2,60.67,0,10/01/2021
0,0,0,1,1,0,0,0,1,0,1450,599,1,58.69,0,10/01/2021
0,0,0,0,1,0,0,0,2,0,1699,559,2,67.1,0,10/01/2021
0,0,0,0,1,0,0,0,1,1,1499,599,3,60.04,0,10/01/2021
0,0,0,1,1,0,0,0,1,0,1799,559,4,68.93,0,10/01/2021
0,0,0,1,1,0,0,0,1,0,1599,559,1,65.04,0,10/01/2021
0,0,0,0,1,1,0,0,1,0,2100,799,4,61.95,0,10/01/2021
0,0,0,0,1,1,0,0,1,0,1799,599,2,66.7,0,10/01/2021
